State,Year,Toilet_Access,Open_Defecation
A & N ISLANDS,2019,63.050000000000004,29.75
JAMMU & KASHMIR,2019,51.2,48.8
HIMACHAL PRADESH,2019,69.1,30.9
PUNJAB,2019,79.3,20.7
CHANDIGARH,2019,87.69999999999999,12.4
UTTARAKHAND,2019,65.80000000000001,34.2
HARYANA,2019,68.6,31.4
NCT OF DELHI,2019,89.6,10.5
RAJASTHAN,2019,34.9,65.0
UTTAR PRADESH,2019,35.7,64.4
BIHAR,2019,23.1,76.9
SIKKIM,2019,87.2,12.8
ARUNACHAL PRADESH,2019,62.0,38.0
NAGALAND,2019,76.5,23.5
MANIPUR,2019,89.2,10.7
MIZORAM,2019,92.0,8.1
TRIPURA,2019,86.0,14.0
MEGHALAYA,2019,63.0,37.1
ASSAM,2019,65.0,35.1
WEST BENGAL,2019,58.9,41.2
JHARKHAND,2019,22.099999999999998,78.0
ODISHA,2019,22.0,78.0
CHHATTISGARH,2019,24.7,75.4
MADHYA PRADESH,2019,28.8,71.2
GUJARAT,2019,57.4,42.7
DAMAN & DIU,2019,78.19999999999999,21.8
D & N HAVELI,2019,54.7,45.3
MAHARASHTRA,2019,53.199999999999996,46.9
ANDHRA PRADESH,2019,49.6,50.4
KARNATAKA,2019,51.2,48.8
GOA,2019,79.7,20.3
LAKSHADWEEP,2019,97.80000000000001,2.2
KERALA,2019,95.2,4.8
TAMIL NADU,2019,48.300000000000004,51.7
PUDUCHERRY,2019,68.5,31.6
A & N ISLANDS,2019,70.10000000000001,29.9
JAMMU & KASHMIR,2019,38.6,61.4
HIMACHAL PRADESH,2019,66.5,33.4
PUNJAB,2019,70.4,29.6
CHANDIGARH,2019,88.0,12.0
UTTARAKHAND,2019,54.0,45.9
HARYANA,2019,56.0,43.9
NCT OF DELHI,2019,76.3,23.7
RAJASTHAN,2019,19.599999999999998,80.4
UTTAR PRADESH,2019,21.7,78.2
BIHAR,2019,17.599999999999998,82.4
SIKKIM,2019,84.10000000000001,15.9
ARUNACHAL PRADESH,2019,52.6,47.3
NAGALAND,2019,69.2,30.8
MANIPUR,2019,85.89999999999999,14.0
MIZORAM,2019,84.60000000000001,15.4
TRIPURA,2019,81.39999999999999,18.5
MEGHALAYA,2019,53.900000000000006,46.1
ASSAM,2019,59.6,40.4
WEST BENGAL,2019,46.800000000000004,53.3
JHARKHAND,2019,7.7,92.4
ODISHA,2019,14.1,85.9
CHHATTISGARH,2019,14.5,85.5
MADHYA PRADESH,2019,13.1,86.9
GUJARAT,2019,33.0,67.0
DAMAN & DIU,2019,51.4,48.6
D & N HAVELI,2019,26.5,73.5
MAHARASHTRA,2019,38.099999999999994,62.0
ANDHRA PRADESH,2019,32.2,67.8
KARNATAKA,2019,28.400000000000002,71.6
GOA,2019,70.89999999999999,29.1
LAKSHADWEEP,2019,98.1,1.9
KERALA,2019,93.3,6.8
TAMIL NADU,2019,23.299999999999997,76.8
PUDUCHERRY,2019,39.1,61.0
A & N ISLANDS,2019,60.099999999999994,39.8
JAMMU & KASHMIR,2019,87.5,12.5
HIMACHAL PRADESH,2019,89.1,10.9
PUNJAB,2019,93.39999999999999,6.6
CHANDIGARH,2019,87.6,12.4
UTTARAKHAND,2019,93.5,6.4
HARYANA,2019,89.9,10.1
NCT OF DELHI,2019,89.8,10.2
RAJASTHAN,2019,82.00000000000001,18.0
UTTAR PRADESH,2019,83.10000000000001,16.9
BIHAR,2019,69.0,31.0
SIKKIM,2019,95.19999999999999,4.8
ARUNACHAL PRADESH,2019,89.50000000000001,10.5
NAGALAND,2019,94.6,5.4
MANIPUR,2019,95.8,4.2
MIZORAM,2019,98.60000000000001,1.5
TRIPURA,2019,97.9,2.1
MEGHALAYA,2019,95.8,4.3
ASSAM,2019,93.7,6.3
WEST BENGAL,2019,85.0,15.0
JHARKHAND,2019,67.1,32.8
ODISHA,2019,64.8,35.2
CHHATTISGARH,2019,60.2,39.8
MADHYA PRADESH,2019,74.2,25.8
GUJARAT,2019,87.7,12.3
DAMAN & DIU,2019,85.39999999999999,14.6
D & N HAVELI,2019,81.3,18.7
MAHARASHTRA,2019,71.3,28.7
ANDHRA PRADESH,2019,86.1,13.9
KARNATAKA,2019,85.0,15.1
GOA,2019,85.19999999999999,14.7
LAKSHADWEEP,2019,97.7,2.3
KERALA,2019,97.49999999999999,2.6
TAMIL NADU,2019,75.1,24.9
PUDUCHERRY,2019,81.99999999999999,18.0
A & N ISLANDS,2019,87.1,12.9
